FileSystemObjectType,Id,ServerRedirectedEmbedUri,ServerRedirectedEmbedUrl,ContentTypeId,Core_Academic_Section_Size,Count,Percent_Enrolled
0,2,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,Special Education Section Size,22,100.00%
0,3,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,Literature,22,100.00%
0,4,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,Math,22,100.00%
0,5,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,History,22,100.00%
0,6,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,Science,22,100.00%
0,7,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,Foreign Language,22,100.00%
0,8,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,Physical Education,22,100.00%
0,9,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,Visual Art,22,25.00%
0,10,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,Music,22,25.00%
0,11,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,Drama,22,25.00%
0,12,,,0x0100B7F164E2221EA946A190815C556C67860011135709848C4649A12EC0C169EEA25E,Design Technology or Sim,22,25.00%
